Nr,Real,Sensor,Diff
101,23.00,65.00,-42.00
102,23.00,69.00,-46.00
103,7.25,82.00,-74.75
104,7.25,82.00,-74.75
105,38.50,58.00,-19.50
106,23.00,69.00,-46.00
107,23.00,67.00,-44.00
108,2.00,83.00,-81.00
109,12.00,26.00,-14.00
110,18.20,41.00,-22.80
111,23.00,1769012352.00,0.00
112,23.00,1769012352.00,0.00
113,23.00,1769012352.00,0.00
114,23.00,1769012352.00,0.00
115,30.60,1769012352.00,0.00
116,27.50,1769012352.00,0.00
117,23.00,1769012352.00,0.00
118,17.50,1769012352.00,0.00
119,16.33,1769012352.00,0.00
120,23.00,1769012352.00,0.00
121,24.40,1769012352.00,0.00
122,23.00,1769012352.00,0.00
123,23.00,1769012352.00,0.00
124,2323.00,1769012352.00,0.00
125,23.00,1769012352.00,0.00
126,1072.00,1769012352.00,0.00
127,23.00,1769012352.00,0.00
128,12.00,1769012352.00,0.00
129,45.00,1769012352.00,0.00
130,45.00,1769012352.00,0.00
131,12.00,41.00,-29.00
132,23.00,25.00,-2.00
133,12.00,55.00,-43.00
134,32.00,24.00,8.00
135,44.00,97.00,-53.00
136,32.00,66.00,-34.00
137,13.00,45.00,-32.00
138,43.00,26.00,17.00
139,54.00,49.00,5.00
140,23.00,23.00,0.00
141,42.00,57.00,-15.00
142,12.00,64.00,-52.00
143,33.00,55.00,-22.00
144,12.00,82.00,-70.00
145,22.00,55.00,-33.00
146,12.00,84.00,-72.00
147,32.00,97.00,-65.00
148,43.00,84.00,-41.00
149,23.00,24.00,-1.00
150,12.00,43.00,-31.00
151,45.00,60.00,-15.00
152,752.08,17.00,735.08
153,19.33,88.00,-68.67
154,632.06,16.00,616.06
155,872.09,18.00,854.09
156,17.50,78.00,-60.50
157,23.00,94.00,-71.00
158,12.00,43.00,-31.00
159,250.27,21.00,229.27
160,19.00,54.00,-35.00
161,34.43,29.00,5.43
162,33.00,52.00,-19.00
163,23.00,70.00,-47.00
164,1072.00,36.00,1036.00
165,37.29,28.00,9.29
166,34.43,29.00,5.43
167,23.00,1769012608.00,0.00
168,12.00,1769012608.00,0.00
169,12.00,1769012608.00,0.00
170,23.00,1769012608.00,0.00
171,30.60,1769012608.00,0.00
172,12.00,1769012608.00,0.00
173,457.55,1769012608.00,0.00
174,12.00,1769012608.00,0.00
175,36.80,1769012608.00,0.00
176,40.14,1769012608.00,0.00
177,28.71,1769012608.00,0.00
178,15.67,1769012608.00,0.00
179,152.01,1769012608.00,0.00
180,23.00,1769012608.00,0.00
181,7.25,1769012608.00,0.00
182,23.00,1769012608.00,0.00
183,32.00,1769012608.00,0.00
184,23.00,1769012608.00,0.00
185,31.57,1769012608.00,0.00
186,1072.00,1769012608.00,0.00
187,12.00,83.00,-71.00
188,23.00,26.00,-3.00
189,34.00,37.00,-3.00
190,32.00,35.00,-3.00
191,12.00,33.00,-21.00
192,23.00,35.00,-12.00
193,21.00,56.00,-35.00
194,23.00,22.00,1.00
195,21.00,79.00,-58.00
196,23.00,11.00,12.00
197,23.00,42.00,-19.00
198,32.00,77.00,-45.00
199,12.00,60.00,-48.00
200,32.00,89.00,-57.00
201,12.00,33.00,-21.00
202,21.00,86.00,-65.00
203,43.00,70.00,-27.00
204,34.00,46.00,-12.00
205,54.00,62.00,-8.00
206,34.00,56.00,-22.00
207,23.00,81.00,-58.00
208,872.09,18.00,854.09
209,23.00,97.00,-74.00
210,23.00,79.00,-56.00
211,23.00,72.00,-49.00
212,23.00,90.00,-67.00
213,23.00,72.00,-49.00
214,35.25,23.00,12.25
215,13.10,47.00,-33.90
216,23.00,65.00,-42.00
217,23.00,69.00,-46.00
218,23.00,82.00,-59.00
219,23.00,82.00,-59.00
220,38.50,58.00,-19.50
221,23.00,69.00,-46.00
222,23.00,67.00,-44.00
223,23.00,83.00,-60.00
224,12.00,26.00,-14.00
225,18.20,41.00,-22.80
226,23.00,62.00,-39.00
227,23.00,79.00,-56.00
228,23.00,1769012992.00,0.00
229,23.00,1769012992.00,0.00
230,26.10,1769012992.00,0.00
231,32.00,1769012992.00,0.00
232,23.00,1769012992.00,0.00
233,23.00,1769012992.00,0.00
234,23.00,1769012992.00,0.00
235,23.00,1769012992.00,0.00
236,22.15,1769012992.00,0.00
237,23.00,1769012992.00,0.00
238,23.00,1769012992.00,0.00
239,2323.00,1769012992.00,0.00
240,23.00,1769012992.00,0.00
241,1072.00,1769012992.00,0.00
242,23.00,1769012992.00,0.00
243,12.00,1769012992.00,0.00
244,45.00,1769012992.00,0.00
245,23.00,1769012992.00,0.00
246,18.20,1769012992.00,0.00
247,23.00,1769012992.00,0.00
